Nodo_ID,Energia_Inicial(J),Energia_Restante(J),Energia_Consumida(J)
0,50,47.6794,2.32064
1,50,47.4718,2.52822
2,50,47.3607,2.63927
3,50,47.3757,2.6243
4,50,47.327,2.67301
5,50,47.527,2.47301
6,50,47.2883,2.71173
7,50,47.1959,2.80414
8,50,47.3162,2.68377
9,50,47.653,2.34705
10,50,47.4269,2.57313
11,50,47.2408,2.75917
12,50,47.2293,2.7707
13,50,47.4306,2.56942
14,50,47.6281,2.37189
15,50,47.5249,2.47511
16,50,47.3714,2.62855
17,50,47.4654,2.53461
18,50,47.522,2.47799
19,50,47.4321,2.56794
