Nodo_ID,Energia_Inicial(J),Energia_Restante(J),Energia_Consumida(J)
0,50,48.6605,1.33951
1,50,48.5179,1.48211
2,50,48.4738,1.52616
3,50,48.5066,1.49336
4,50,48.6497,1.35029
5,50,48.5912,1.4088
6,50,48.4414,1.55856
7,50,48.4041,1.59587
8,50,48.4402,1.55979
9,50,48.5801,1.41992
10,50,48.5834,1.41656
11,50,48.4405,1.55949
12,50,48.4046,1.59542
13,50,48.4359,1.56414
14,50,48.5847,1.41532
15,50,48.6515,1.34848
16,50,48.5123,1.48774
17,50,48.4722,1.52783
18,50,48.513,1.48695
19,50,48.6558,1.34422
