Nodo_ID,Energia_Inicial(J),Energia_Restante(J),Energia_Consumida(J)
0,50,48.6833,1.31666
1,50,48.5436,1.45636
2,50,48.5079,1.49208
3,50,48.5423,1.45769
4,50,48.6827,1.31726
5,50,48.6152,1.38476
6,50,48.4744,1.52562
7,50,48.4391,1.56085
8,50,48.4748,1.5252
9,50,48.614,1.38603
10,50,48.6151,1.38488
11,50,48.4749,1.52508
12,50,48.4397,1.56032
13,50,48.4725,1.52748
14,50,48.6153,1.38465
15,50,48.6842,1.31583
16,50,48.5452,1.45477
17,50,48.5084,1.49165
18,50,48.5454,1.45456
19,50,48.6852,1.31476
